nom,url_spotify,url_deezer,categorie,genre
Ryflo,https://open.spotify.com/artist/4acowSAiQXmdhs4DCgUQ0U,,Rap-HipHop-RnB,Rap-HipHop-RnB
Solda,https://open.spotify.com/artist/7FXX45sHqoQoCwqtG0ZV8H,,Rap-HipHop-RnB,Rap-HipHop-RnB
2 Mètres,https://open.spotify.com/artist/3WUHUmukg1hiSrVCfCoSbF,,Rap-HipHop-RnB,Rap-HipHop-RnB
Lushe,https://open.spotify.com/artist/5zCMyo4rRc63lqoXLKIcgv,,Rap-HipHop-RnB,Rap-HipHop-RnB
Diez,https://open.spotify.com/artist/082ELiDlIVdC1ovHXpWZHK,,Rap-HipHop-RnB,Rap-HipHop-RnB
Bianca Costa,https://open.spotify.com/artist/1DcL22xdIWcdNa4ZHaXZjT,,Rap-HipHop-RnB,Rap-HipHop-RnB
Tookie2Beriz,https://open.spotify.com/artist/142mBEMjSrFPCuDU0eS20r,,Rap-HipHop-RnB,Rap-HipHop-RnB
Bobbyezz,https://open.spotify.com/artist/5hV6TRKQwmvIWKTlsob1z8,,Rap-HipHop-RnB,Rap-HipHop-RnB
Lulu Van Trapp,https://open.spotify.com/artist/6N9HDXBvQ0Nd9GVtHg3DMZ,,Rap-HipHop-RnB,Rap-HipHop-RnB
Mitra,https://open.spotify.com/artist/27XaRSrSeHtKOAJrzMBzQ8,,Rap-HipHop-RnB,Rap-HipHop-RnB
Lawskie,https://open.spotify.com/artist/7gdTFjXWEBzBtir4DGFzku,,Rap-HipHop-RnB,Rap-HipHop-RnB
Voleur pnz,https://open.spotify.com/artist/6BGAhqSN3qEqlZRpMogAFN,,Rap-HipHop-RnB,Rap-HipHop-RnB
West Bank Records,https://open.spotify.com/artist/2VpYQkkjCohjSPskaQGyp0,,Rap-HipHop-RnB,Rap-HipHop-RnB
La Zona,https://open.spotify.com/artist/0dapCwy3FCdgJb0yGCN4qQ,,Rap-HipHop-RnB,Rap-HipHop-RnB
