nom,source,score,followers,fans,spotify_id,deezer_id
L’Amerigo,Spotify,,,,0NLGp1poDBr1K4VVp3LVSL,
Rouquine,Spotify,,,,7pJxy5TSBacc0UMMppaExZ,
P.R2B,Spotify,,,,6R6tuqCxJRopO4bE8nfLGk,
Revnoir,Spotify,,,,6Jnxg5O26hXfwfbRSMzVuB,
Doosko Niafo,Spotify,,,,3j5vom9KtuBUImiFXCOTP0,
Green Money,Spotify,,,,5K45xjHulVclJDxJSakgmc,
Jahyanai King,Spotify,,,,4ASk9it8lXjK4KrkoFXPlN,
Izzy93,Spotify,,,,2AfyzCxD2WTuEbV0XoZajq,
Paris Richards,Spotify,,,,2QKgfzDlgGJCv1hkfOovKH,
tn_490,Spotify,,,,1ULJBOKjmOpRsRRHP1vc2X,
Ana Moreau,Spotify,,,,4vy2w9TDFpA1kcFCZRT5Ls,
Contrefaçon,Spotify,,,,5RmuisBjJdDZ2OaLmWVMYu,
Payaso915,Spotify,,,,4p5a11aaWH3aZrDuGrCWq6,
Santos 912,Spotify,,,,4NbbicWEOV9MfkaTuZBUnh,
Saandia,Spotify,,,,5m9uhS0LyWhc5kFDWkeOjA,
Sto,Spotify,,,,475O928CVcLukJqBd4LPJ3,
Emile Parisien,Spotify,,,,0KYFSSpklRwCSM31sHD4s6,
Dk2fois,Spotify,,,,3532P4f6wikwfG2uvxXRnQ,
ELISA ERKA,Spotify,,,,1EkqwqtzsjxMYJZH73RFVM,
Blam'S,Spotify,,,,5JZqq78QDWcMNYjIRV81oF,
ELOI,Spotify,,,,5J65ukR6WWDkuRrqYa4Knl,
Revolver,Spotify,,,,2ERWfqqrtdXicQJ9wcOONf,
Dounia Jari,Spotify,,,,2wGEnSqp6ZXg2LWGZF7mnQ,
Cachemire,Spotify,,,,4AJBNggqryKH5Dy0xdaGDY,
Jazir,Spotify,,,,1AyxHP7cwxDjR5HxtxRo1C,
Owen River,Spotify,,,,6PY5uOumDeaGto9AfoxCjh,
West Bank Records,Spotify,,,,2VpYQkkjCohjSPskaQGyp0,
Rover,Spotify,,,,0kPQnkxRCKloZQfgXfrqQO,
Foé,Spotify,,,,5KRLYv4JDKx5jvR2EOdw7a,
ASTERO-H,Spotify,,,,4R15nQ1tIZGKIq7Z8BddVI,
JLOW,Spotify,,,,66rknd4NFEU7U2AK5cesjy,
Ici c'est Paris,Spotify,,,,0XVAP17xehWKLmcb0DhtbZ,
935,Spotify,,,,1e9RDMOTSMtDV4ZkZTrZw4,
Magoyond,Spotify,,,,69NyHXNjgqvV4euhqZ36kH,
Rocket,Spotify,,,,6HB56S5tXln4QbDVbnd3h6,
Casus Belli,Spotify,,,,1nmnKCdPXX14EBJWklwKTR,
Shoota93,Spotify,,,,1qvfwkeecGjBi5yJ1GBTNr,
New Jazz France,Spotify,,,,10zN9gAaRm3XKwtYzVZNql,
Merzhin,Spotify,,,,4ni1VfqTNIvsJKTDuiN64f,
Rallye,Spotify,,,,36buOdDVz6p3QbVatFi4iX,
Sáez'93,Spotify,,,,2MOr3iEGgA7dQhYUsPBoTI,
Lulu Gainsbourg,Spotify,,,,5W38lYXVLIEfyTFBQKTfmX,
King Luca,Spotify,,,,1DEN3iWZL55rYkQCXVwkLz,
FRANKIE PARIS,Spotify,,,,1MHoEOE8YNUmWKnqoEQS2Z,
Zonmai,Spotify,,,,690TcJftS8JgJI5iEsYEcU,
Les Petits Chanteurs D'Asnières,Spotify,,,,2LvcgUerrHBC9tQd48v6kL,
Simia,Spotify,,,,57dGH4c5aKHr46UJqCDEev,
Crie 930,Spotify,,,,3dOo2vzOxx1HaSteQGb56s,
D4r,Spotify,,,,67RmjpcaDCjcdKMiBuamuV,
Emlo,Spotify,,,,5O4IDbze1xrfs2zY8wLJ1H,
King Daddy Yod,Spotify,,,,2fpKYZoJagtpX0aQ5xXiqq,
DONI NA MA,Spotify,,,,64jyZ8B8vuzf12J7NYAglD,
Lunar949,Spotify,,,,5FM4iItgDdg47zRKbWnjzd,
MC Salo,Spotify,,,,1quV4CgipPwybFtikATOBc,
Gabriel Paris,Spotify,,,,5mC0vGi5lOCqYs53SOojs4,
DAM,Spotify,,,,1ATrNccUrhiYSQ3B08VQrz,
Jil Is Lucky,Spotify,,,,4O82966S46TGCDsAzRFlku,
jaynbeats,Spotify,,,,3g5QiiBmEWt5a3WaW1zArB,
Eloquence,Spotify,,,,685Gc0hObCotgZ7K8bE05K,
Dolo Tonight,Spotify,,,,3ED1AG2E67Epo3MBFVOFj9,
Samat,Spotify,,,,68uK8Nx6KBp8QZQi3YMU6L,
Snoobie92,Spotify,,,,1nqN4To65NIMSGsU0n8axa,
