id_unique,nom,source,fans,genre,image_url,url_deezer,date_collecte
Grandmaster Flash & The Furious Five_deezer,Grandmaster Flash & The Furious Five,Deezer,23319,Non spécifié,https://cdn-images.dzcdn.net/images/artist/3dcb243cd2449f381f1569cb52e39618/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/8582,2026-01-27 08:21:38
Cid_deezer,Cid,Deezer,3274,Non spécifié,https://cdn-images.dzcdn.net/images/artist/7d69abee00745daf3b058363c2dc1c75/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/3267911,2026-01-27 08:21:39
Walter Astral_deezer,Walter Astral,Deezer,3068,Non spécifié,https://cdn-images.dzcdn.net/images/artist/acab2314d7711d3bb69d1a6a1b16d72f/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/151908072,2026-01-27 08:21:39
V13_deezer,V13,Deezer,2900,Non spécifié,https://cdn-images.dzcdn.net/images/artist/147a6a57847c77f98fc2f0609e551c60/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/340296,2026-01-27 08:21:39
Wolkenfrei_deezer,Wolkenfrei,Deezer,2836,Non spécifié,https://cdn-images.dzcdn.net/images/artist/6860c8a2df18bf1fedc2d896af806cc0/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/4995016,2026-01-27 08:21:40
REYKO_deezer,REYKO,Deezer,2806,Non spécifié,https://cdn-images.dzcdn.net/images/artist/c88c23d88bfdaca62708c7693c8fb27f/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/6066874,2026-01-27 08:21:40
Hifi_deezer,Hifi,Deezer,2751,Non spécifié,https://cdn-images.dzcdn.net/images/artist/0446777a554a4df4d263943b8afaff12/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/13486,2026-01-27 08:21:40
JR O Crom_deezer,JR O Crom,Deezer,2738,Non spécifié,https://cdn-images.dzcdn.net/images/artist/afc7689de76ece6c42a98734bbc7dc22/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/4683064,2026-01-27 08:21:41
Searows_deezer,Searows,Deezer,2890,Non spécifié,https://cdn-images.dzcdn.net/images/artist/5a5f738fcd75e1176b9750ca8e28d8c9/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/158683422,2026-01-27 08:21:41
Meimuna_deezer,Meimuna,Deezer,2626,Non spécifié,https://cdn-images.dzcdn.net/images/artist/ae9c8697d03bae9c0b1fb7e06a10b1a8/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/14329801,2026-01-27 08:21:42
