nom,followers,popularity,genres,categorie,image_url,url_spotify,nb_albums,nb_releases_recentes
LRB490,17736,41,"shatta, maloya",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb4ae2ccf31ac3b5f53072fbd1,https://open.spotify.com/artist/2UrTsnAc4CSukV44RC6PT6,33,16
Konieur,22965,52,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebba582f7c5ca7233d2f50a586,https://open.spotify.com/artist/3OFleM2K9wTLzf0wry6He3,12,12
TVLM,20185,50,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebbcd61543e1124441de794776,https://open.spotify.com/artist/6LNDkL0VeHXi0fMuefWS1w,17,14
RDR,4864,39,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb28ea868e03d0c54166315444,https://open.spotify.com/artist/2K8TwF85tEXePefdOxPZTW,21,17
Mecra Officiel,19165,34,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb4a36c8aedf42532649572f58,https://open.spotify.com/artist/2Ya02DIvFJEBvDBTznlYCp,29,12
Zitoune,20944,39,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebc8ae3780ce12bb9ce88c448b,https://open.spotify.com/artist/5TRkqLaI9iMFdFiqN1wAXa,18,15
ZABUZA,12240,46,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb920baaf072d481cfe922e336,https://open.spotify.com/artist/1BC1J2L4JXtQG3JgtDVCrk,80,43
RD,13856,29,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebb086ad6bfb831fd90e2629a7,https://open.spotify.com/artist/07ZWwj7nQevMbVVLgwjAU6,23,8
Lilleek,213,1,,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b273d7667647af97ff4149fec35c,https://open.spotify.com/artist/76GuUSbzRaO4eeL9PhAGBl,14,4
lille Caesar,13544,45,"norwegian pop, norwegian hip hop",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb594fe019191512d6335119b2,https://open.spotify.com/artist/79ydqO3TZ35NwkWtjyvugR,16,11
LILLE 16,271,6,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb2863a24af6d4beee35388514,https://open.spotify.com/artist/3FgDEdw02ZOkwuyWZTvIOV,7,7
RapZilla-LKM,2309,5,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb3ce327401332c6bc1447a81b,https://open.spotify.com/artist/39JrpTQZKfPHn4WWoyrMkU,19,2
LILLEN,1009,13,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb7b976517417efcae7baf3586,https://open.spotify.com/artist/04Me6qNw3Z1CIqUWrkmF5B,6,5
G-Kill,416,36,"french rap, french r&b",Rap-HipHop-RnB,,https://open.spotify.com/artist/2H3E75M2o5aedoI2KD0dvd,0,0
Lille Saus,1968,41,"russelåter, epadunk",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb6201975cdce5d4e2f458eb9a,https://open.spotify.com/artist/15saPvefLxxtw3nvTOCUg0,281,50
Lille Glenn,903,15,norwegian hip hop,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb4a05bf9c5a1589a3cccf6e07,https://open.spotify.com/artist/6bvvimLWYUw7cbXtGa5jw8,13,1
Lille Pablo,1948,16,"norwegian hip hop, norwegian pop",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebc828877f28eb07811b519023,https://open.spotify.com/artist/6Y4IHXCDwWvuNBmdqTIUTz,23,13
YLR,7698,38,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebdb440b11997d132e50c5c65d,https://open.spotify.com/artist/0djUVWD4NWGZt9PLAlvYXj,14,14
91 All Stars,27921,36,"french rap, pop urbaine",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb125d399554988a18f072d713,https://open.spotify.com/artist/2NXFKDjgSuIyiUUH2PEVHG,28,0
919gaijin,674,13,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb4672af285fa899c2a1ff0987,https://open.spotify.com/artist/2vAFMlKReC5aI7I0AlEiyK,38,13
Will Power 912,1001,23,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb28fe6147c01f783c71699e05,https://open.spotify.com/artist/1b6E8GKvKbrozg36WhLulf,21,20
Santos 912,8643,35,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebfbb1d7842a1a31fa37602b73,https://open.spotify.com/artist/4NbbicWEOV9MfkaTuZBUnh,37,16
Batata 914,499,26,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebbe5b7b6363437291d895e413,https://open.spotify.com/artist/7CujhbovMdUlyC4gZILB63,11,8
lvcas 91,721,17,boom bap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb449d95507bfd2f8356a93ac9,https://open.spotify.com/artist/4t26J3uwUdaNbiGaGvN10K,33,18
914PXPE!,375,7,"trap metal, horrorcore",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb04e3f94ac1f9a1da7fcf77e4,https://open.spotify.com/artist/1YRbRHu7EWHgjj6WMiQ4MZ,3,0
911,109,0,,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b273d00f414f2dd9465a357004cf,https://open.spotify.com/artist/1qksEGcCzvkUq8tDV4hJz5,2,0
T913,2542,29,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebb441ab243ff4da71fcb19cce,https://open.spotify.com/artist/47RRhnkvrKrC6tm7fNYQTN,19,2
Arso911,4137,3,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb201264449e88dee1eb42e794,https://open.spotify.com/artist/2qvmRNV5NTShJKvi4gAZft,0,0
Rap2Rue,321,21,german hip hop,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b273b0fa596d0f6fed32a8ca981c,https://open.spotify.com/artist/5vDfFo9ko8zt163U2qTc2I,2,2
RD92,380,4,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebdfd51509c5afb97e1bd0ed10,https://open.spotify.com/artist/6gsBVohYkoryIZGoNhNua9,10,8
92_Montie,589,11,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb7c30c5167ce861023db0fbed,https://open.spotify.com/artist/2EuvBEH0mnMuqGadLoH87L,32,29
rz92i,1516,11,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebceabfd95e8bfba4f20febf8f,https://open.spotify.com/artist/77pl5wtTOGwF5FPUYUDEDz,7,3
Alka92140,4336,6,,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b273c0ba475640019fe104e1d26c,https://open.spotify.com/artist/0gxgKYUUgdbO3BOqz5iKDI,1,0
92 Zorba,1110,0,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebf880786657883ff241c99745,https://open.spotify.com/artist/5sdvHmw4yMrLqhLanxTjwz,1,0
929Reese,128,0,,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b273242474eb8bef6f1e5b9a0d9b,https://open.spotify.com/artist/5OnYrMdN2FX7LgFN5LVHC1,3,0
92!kris,136,2,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eba3f0598e5bb8fc653be96660,https://open.spotify.com/artist/2G9pux34dMxzqLEsxejwin,1052,48
nes929,397,12,tekno,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebc6b00301da8d24b0c41d984a,https://open.spotify.com/artist/3SNPmjhb121Cjy0Oskqsb4,10,10
Kasper 939,14369,28,"hip house, french rap",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebb5058c3452b621eacbb0da11,https://open.spotify.com/artist/6wUGiWb7FR3Cv39sELlp1U,0,0
