nom,followers,popularite,avg_track_popularity,growth_indicator,score_potentiel,last_release_date,genres,url_spotify,date_extraction
Kaky,20856,39,36.8,2.2,56.8,2025-05-16,french pop,https://open.spotify.com/artist/2BbWg6tgQK7hINJ0EDzk4O,2025-12-17 11:39:20
Rocca,21570,37,24.9,12.1,56.66,2024-03-29,"french rap, latin hip hop",https://open.spotify.com/artist/7yz7tVF8i1Jr6roiq5CUuD,2025-12-17 11:38:06
Laura Cahen,20665,37,33.7,3.3,56.66,2025-01-24,"french pop, french indie pop",https://open.spotify.com/artist/7F6KYZeQpL5MqAnMFG8a4F,2025-12-17 11:39:27
Jäde,21055,43,34.8,8.2,56.48,2024-03-15,french r&b,https://open.spotify.com/artist/52CEzAtIDEJInO8yL0blFB,2025-12-17 11:34:00
Le Juiice,25786,33,26.4,6.6,55.89,2024-11-08,"asakaa, french rap, rap ivoire",https://open.spotify.com/artist/67MIpliQaIhUN1WLSkYEqC,2025-12-17 11:34:18
Skima,21560,46,43.2,2.8,55.66,2024-11-26,french rap,https://open.spotify.com/artist/5r2YHdPg2immGqpgMbA3ov,2025-12-17 11:32:08
X-Men,30201,28,21.2,6.8,54.72,2025-12-09,french rap,https://open.spotify.com/artist/0u8fuhFdG3E8WKsqQXy63B,2025-12-17 11:38:25
Chanceko,24399,30,24.6,5.4,54.38,2024-11-24,"french rap, french r&b",https://open.spotify.com/artist/0rIcS71BzqNgTQl8yjiprz,2025-12-17 11:34:17
Big Red,20493,37,31.9,5.1,54.13,2024-11-29,"ragga, dub, reggae",https://open.spotify.com/artist/26WTl77DrAt9IDNihQmZMW,2025-12-17 11:34:15
Grems,28714,27,21.3,5.7,53.6,2025-06-16,"french rap, hip house",https://open.spotify.com/artist/2VXsRo1aTjdh4KydrrKtF2,2025-12-17 11:33:54
Lagui,4318,46,58.5,-12.5,53.43,2025-11-20,Non spécifié,https://open.spotify.com/artist/3TP2Ucsow6rW1s24aq9gb4,2025-12-17 11:32:10
Python Loco,2096,44,31.83,12.17,53.29,2025-07-14,Non spécifié,https://open.spotify.com/artist/35Zw0oC1da1CwlwfAYlaWx,2025-12-17 11:33:07
