nom,followers,popularity,genres,categorie,image_url,url_spotify,nb_albums,nb_releases_recentes
ZABUZA,11693,48,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb9118449342defcef2a12be4f,https://open.spotify.com/artist/1BC1J2L4JXtQG3JgtDVCrk,76,44
TVLM,19006,52,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebbcd61543e1124441de794776,https://open.spotify.com/artist/6LNDkL0VeHXi0fMuefWS1w,14,11
lille Caesar,13493,47,"norwegian pop, norwegian hip hop",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb594fe019191512d6335119b2,https://open.spotify.com/artist/79ydqO3TZ35NwkWtjyvugR,17,11
Lilleek,210,1,,Rap-HipHop-RnB,,https://open.spotify.com/artist/76GuUSbzRaO4eeL9PhAGBl,0,0
LILLE 16,270,8,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb2863a24af6d4beee35388514,https://open.spotify.com/artist/3FgDEdw02ZOkwuyWZTvIOV,6,6
RapZilla-LKM,2305,6,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb3ce327401332c6bc1447a81b,https://open.spotify.com/artist/39JrpTQZKfPHn4WWoyrMkU,19,2
Lillebittebock,1346,12,dansk rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb2b0939f0ac957c63b8045584,https://open.spotify.com/artist/1Bkcm42So5nKYkY5DEHbO2,8,1
LILLE,1348,25,german indie,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb4ae09792b62dd5dea636a544,https://open.spotify.com/artist/3IZz6OZ6nLwKS9zmrMjgAM,21,7
LILLEN,1009,16,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb7b976517417efcae7baf3586,https://open.spotify.com/artist/04Me6qNw3Z1CIqUWrkmF5B,6,5
Lille Saus,1954,44,"russelåter, epadunk",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb6201975cdce5d4e2f458eb9a,https://open.spotify.com/artist/15saPvefLxxtw3nvTOCUg0,279,50
Lille Glenn,900,18,norwegian hip hop,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb4a05bf9c5a1589a3cccf6e07,https://open.spotify.com/artist/6bvvimLWYUw7cbXtGa5jw8,13,1
Lille Pablo,1949,19,"norwegian hip hop, norwegian pop",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebc828877f28eb07811b519023,https://open.spotify.com/artist/6Y4IHXCDwWvuNBmdqTIUTz,23,13
YLR,7521,41,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebdb440b11997d132e50c5c65d,https://open.spotify.com/artist/0djUVWD4NWGZt9PLAlvYXj,13,13
Lille Fucker,2566,29,"dansk rap, dansktop",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb1736baff38d775746af9b60b,https://open.spotify.com/artist/6Sr0XZt2vowfPAzp9Mv1ck,29,12
PLK,1211,49,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b273351e4950507132984ca22334,https://open.spotify.com/artist/1HXCsUKToRkJLjkcxS123w,1,0
91 All Stars,27881,39,"french rap, pop urbaine",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb125d399554988a18f072d713,https://open.spotify.com/artist/2NXFKDjgSuIyiUUH2PEVHG,28,0
DL91 Era,18494,57,"desi hip hop, hindi hip hop",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebef0b0a24b4754e838f07ee71,https://open.spotify.com/artist/3mWqCmX0xuzBJN648XSBrE,8,8
919gaijin,672,15,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb4672af285fa899c2a1ff0987,https://open.spotify.com/artist/2vAFMlKReC5aI7I0AlEiyK,38,13
Santos 912,8612,37,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebfbb1d7842a1a31fa37602b73,https://open.spotify.com/artist/4NbbicWEOV9MfkaTuZBUnh,36,15
91' Thompson,995,10,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebe12c27ae84223b3bcbb6094b,https://open.spotify.com/artist/3j8mUJUXcRRHOZSuy4AKv2,29,5
Will Power 912,969,25,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb28fe6147c01f783c71699e05,https://open.spotify.com/artist/1b6E8GKvKbrozg36WhLulf,19,18
Vatokrem 91,607,25,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebe2385eb5ef7fb085a116fe51,https://open.spotify.com/artist/1Bk9gPo2SoUp1W3SlOlnJe,88,48
Batata 914,480,29,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebbe5b7b6363437291d895e413,https://open.spotify.com/artist/7CujhbovMdUlyC4gZILB63,11,8
91,1169,34,turkish hip hop,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb041a7bc9a9ee02b0b5b51bf1,https://open.spotify.com/artist/227ZhUtAhpZiTj8S80p1y5,1,1
914PXPE!,375,9,"trap metal, horrorcore",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb04e3f94ac1f9a1da7fcf77e4,https://open.spotify.com/artist/1YRbRHu7EWHgjj6WMiQ4MZ,3,0
